,ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct,Wikipedia,Photo,Common_name,Phylum
86,2863,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
87,2864,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
88,2865,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
89,2866,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
90,2867,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
91,2868,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
92,2869,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
93,2870,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
94,2871,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
95,1485,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.858,-73.264,Boyacá,Boyacá,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
