ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct
2955,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2956,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2957,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2958,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2959,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2960,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2961,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2962,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2963,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2964,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2965,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2922,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2966,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2967,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2925,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2969,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2970,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2971,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2972,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2985,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2973,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2974,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2926,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2927,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2928,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
2975,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.87327,-74.44341,Cundinamarca,Cundinamarca,True
